ean,coicop_subclase
9990000000009,01.1.6
9990000000010,01.1.6
9990000000011,01.1.7
9990000000012,01.1.7
9990000000013,01.1.8
9990000000014,01.1.8
9990000000015,01.2.1
9990000000016,01.2.1
9990000000017,01.2.2
9990000000018,01.2.2
9990000000019,02.1
9990000000020,02.1
9990000000021,02.2.1
