ean;descripcion;marca;n_sucursales;n_cadenas;precio_mediano;coicop_sugerido;rubro_sugerido;coicop_subclase
7790580602000;GOMITAS ROLLO MOGUL X 12 GRS;MOGUL;667;11;899.0;;;
7795735000106;TALITAS TRADICIONALE;DONSA;666;11;2385.0;;;
7790895000270;GASEOSA LIMA LIMON;SPRIT;660;11;2500.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;01.2.2
0000077903860;ALFAJOR TERRABUSI TORTA X 70 GRS;TERRABUSI;589;11;2100.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;
7790070418203;ALFAJOR ARROZ DULCE LECHE CHOCOARROZ X 22 GRS;CHOCOARROZ;583;11;1649.0;01.1.4;Leche, productos lácteos y huevos;01.1.4
7791813421382;GASEOSA C/GAS POMELO;P.TOR;541;11;3950.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;01.2.2
7790580697303;GALL.SNACKS SAB.PIZZ;SALAD;524;11;1722.0;;;
7891000379028;TABLETA CHOCOLATE BLANCO KIT KAT X 41.5 GRS;KIT KAT;516;11;2631.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;
7790895646027;AGUA MINERAL C GAS SMART WATER PET X 591 CC;SMART WATER;508;11;2000.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
0000077956699;ALFAJOR CHOCOLATE TRIPLE TRI SHOT X 60 GRS;SHOT;501;11;2040.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;
0000077915481;ALFAJOR TRIPLE PEPITOS X 57 GRS;PEPITOS;500;11;2215.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;
0000077939234;ALFAJOR CHOCOLATE TERRABUSI X 50 GRS;TERRABUSI;498;11;1369.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;
0000077903792;ALFAJOR CHOCOLATE TRIPLE TERRABUSI X 70 GRS;TERRABUSI;496;11;2059.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;
7790040613706;ALFAJOR LECHE BON O BON X 40 GRS;BON O BON;490;11;1319.0;01.1.4;Leche, productos lácteos y huevos;01.1.4
7798085681452;JUGO DE NARANJA CLASICO CITRIC TETRA X 500 CC;CITRIC;462;11;3255.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;01.2.2
7797453001441;CHOCOLATE M&M CHOCOLATE MILK X 48 GR;M & M;258;11;4800.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;
7790580200114;MOGUL TIBURON X 30 GRS;MOGUL;247;11;1120.0;;;
7790580103385;CHOC. COFLER BCO/LEC AIR X27G;COFLER;230;11;2800.0;;;01.1.8
7790895649301;JUGO CEPITA 20% NARANJA TETRA X 200ML;CEPITA;216;11;1680.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;01.2.2
7790580105013;TABLETA CHOCOLATE C MANI COFLER BLOCK X 170 GRS;COFLER;201;11;7685.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;01.1.6
7791293047102;SHAMPOO RECONSTRUCCI;DOVE;760;10;9687.0;;;
7791293047515;ACO NUTRICION;DOVE;759;10;9687.0;;;
7791293047171;SH REGENERACION EXTR;DOVE;758;10;9687.0;;;
7790770601851;TOALL FEME BUEN NOCH;NOSOTRAS;757;10;3859.0;;;
7791293047522;ACO REGENERAC EXTREM;DOVE;756;10;9687.0;;;
4005808257669;DEO ROLL ON PEAR&BEA;NIVEA;755;10;3108.0;;;
4005900036759;DEO ANTI ROL INV B&W;NIVEA;754;10;3108.0;;;
7791293043791;BODYSPRAY MARINE;AXE;753;10;4705.0;;;
7793253003838;LAVANDINA EN GEL LAV;AYUDIN;753;10;3590.0;;;
7500435202695;SHAMPOO ARGAN;HEAD & SHOULDERS;751;10;13024.0;;;
7791293045948;ACO BALANCE;SEDAL;751;10;5855.0;;;
7791293049557;DEO AEROS NUTR WOMEN;REXONA;751;10;4889.0;;;
4005808257553;DEO ROLL-ON DRY MEN;NIVEA;750;10;3108.0;;;
7790010002806;PROTEC FEM DIAR LARG;CAREFREE;750;10;11138.0;;;
7891150081239;DESODOR AERO ORIGINA;DOVE;750;10;8069.0;;;
4005900036704;ROLL-ON DEO BLA&WHIT;NIVEA;747;10;2770.0;;;
7790580346515;OBLEA RELL CHOC LECH;BON O BON;747;10;1408.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;01.1.1
7791290792838;JAB LIQ P.DILU BIO;SKIP;747;10;13764.0;;;
7791293045740;SHAMPOO BALANCE;SEDAL;746;10;5855.0;;;
7891010560737;HISOPOS;COTONETES;744;10;3460.0;;;
7790380258018;CARAME MASTIC PALITO;PALITOS DE LA SELVA;741;10;2750.0;;;
7790064000261;ALGODON FAMILI CLASI;ESTRELLA;736;10;1396.99;;;
7790520995285;DESINFECT AMB ORIGIN;LYSOFORM;735;10;4789.0;;;
7509552902815;ACO KERATINA RT5;ELVIVE;730;10;11190.0;;;
7793253003791;LAVANDINA EN GEL;AYUDIN;723;10;3590.0;;;
7891150000971;SUAVIZANTE FRESCOR;COMFORT;722;10;8990.0;;;
7791290792814;JAB LIQ BIO ENZ DP;SKIP;720;10;4740.0;;;
7509552902518;SH KERATINA REP TOT5;ELVIVE;719;10;11190.0;;;
7791293047164;SHAMPOO NUTRICION;DOVE;716;10;9687.0;;;
7791293047508;ACO RECONSTRUCCION;DOVE;715;10;9687.0;;;
7790895643835;JUGO SOJ.MAN.ADES 1L;ADES;713;10;3400.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
7791290792043;JAB LIQ DILUIR ECO;ALA;713;10;11990.0;;;
7798128000707;GALLE INTEGRA GRANOL;CACHAFAZ;713;10;3769.0;;;
7799155000173;AGUA S/GAS MINERAL;VILLAVICENCIO;712;10;1870.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
